,Google SerApi Links
0,https://www.delhimetrotimes.in/uttar-pradesh/temples-in-uttar-pradesh.html
1,https://detechter.com/10-famous-temples-uttar-pradesh-visit/
2,https://en.wikipedia.org/wiki/Category:Hindu_temples_in_Uttar_Pradesh
3,https://www.uponline.in/about/tourism/10-famous-temples-in-uttar-pradesh
4,https://www.thedivineindia.com/temples-list/uttar-pradesh/page/1.html
5,https://www.travalour.com/destination/799-uttar-pradesh/46-hindu-temples-in-uttar-pradesh
6,https://stylesatlife.com/articles/temples-in-uttar-pradesh/
7,https://www.nativeplanet.com/travel-guide/famous-temples-uttar-pradesh-001204.html
8,https://www.templepurohit.com/hindu-temples/uttar-pradesh/
9,https://www.indianmirror.com/temples/uttar-pradesh.html
10,https://varanasi.nic.in/temples-of-importance/
11,https://www.india.com/travel/explore/religious-places-uttar-pradesh/
12,https://www.mytirthindia.com/blog/the-top-5-temples-in-uttar-pradesh/
13,http://www.discoveredindia.com/uttar-pradesh/attractions/temples/
14,https://www.herzindagi.com/diary/10-lesser-known-hindu-pilgrimage-sites-in-uttar-pradesh-you-must-visit-article-165094
15,https://www.tourmyindia.com/states/uttarpradesh/hindu-pilgrimages.html
16,https://www.nationalheraldindia.com/india/5000-temples-in-uttar-pradesh-in-the-crosshair-of-the-yogi-government
17,https://www.google.co.in/search?num=20&ucbcb=1&gl=in&hl=en&q=Uttar+Pradesh+Temple+list&sa=X&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ1QJ6BAhYEAE
18,https://www.google.co.in/search?num=20&ucbcb=1&gl=in&hl=en&q=How+many+temples+in+Uttar+Pradesh&sa=X&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ1QJ6BAhWEAE
19,https://www.google.co.in/search?num=20&ucbcb=1&gl=in&hl=en&q=Famous+temples+in+Uttarakhand&sa=X&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ1QJ6BAhiEAE
20,https://www.google.co.in/search?num=20&ucbcb=1&gl=in&hl=en&q=Shiv+Temple+in+uttar+Pradesh&sa=X&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ1QJ6BAhdEAE
21,https://www.google.co.in/search?num=20&ucbcb=1&gl=in&hl=en&q=Famous+temples+in+Madhya+Pradesh&sa=X&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ1QJ6BAhaEAE
22,https://www.google.co.in/search?num=20&ucbcb=1&gl=in&hl=en&q=Oldest+temple+in+Uttar+Pradesh&sa=X&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ1QJ6BAhfEAE
23,https://www.google.co.in/search?q=hindu+temples+in+uttar+pradesh&num=20&ucbcb=1&gl=in&hl=en&ei=FYjVYp7zArrHkPIPzZqluAY&start=20&sa=N&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ8NMDegQIARBK
24,https://www.google.co.in/search?q=hindu+temples+in+uttar+pradesh&num=20&ucbcb=1&gl=in&hl=en&ei=FYjVYp7zArrHkPIPzZqluAY&start=20&sa=N&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ8tMDegQIARA-
25,https://www.google.co.in/search?q=hindu+temples+in+uttar+pradesh&num=20&ucbcb=1&gl=in&hl=en&ei=FYjVYp7zArrHkPIPzZqluAY&start=40&sa=N&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ8tMDegQIARBA
26,https://www.google.co.in/search?q=hindu+temples+in+uttar+pradesh&num=20&ucbcb=1&gl=in&hl=en&ei=FYjVYp7zArrHkPIPzZqluAY&start=60&sa=N&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ8tMDegQIARBC
27,https://www.google.co.in/search?q=hindu+temples+in+uttar+pradesh&num=20&ucbcb=1&gl=in&hl=en&ei=FYjVYp7zArrHkPIPzZqluAY&start=80&sa=N&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ8tMDegQIARBE
28,https://www.google.co.in/search?q=hindu+temples+in+uttar+pradesh&num=20&ucbcb=1&gl=in&hl=en&ei=FYjVYp7zArrHkPIPzZqluAY&start=100&sa=N&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ8tMDegQIARBG
29,https://www.google.co.in/search?q=hindu+temples+in+uttar+pradesh&num=20&ucbcb=1&gl=in&hl=en&ei=FYjVYp7zArrHkPIPzZqluAY&start=120&sa=N&ved=2ahUKEwje0czd64L5AhW6I0QIHU1NCWcQ8tMDegQIARBI
